"run_id","timestamp_jst","attempt","symbols","ok_count","fail_count","fail_reason","planned_sleep_sec"
"20260122T070323Z_gha21239257088_a1","2026-01-22 16:03:24","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T075425Z_gha21240476299_a1","2026-01-22 16:54:26","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T090449Z_gha21242397790_a1","2026-01-22 18:04:49","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T100108Z_gha21244125653_a1","2026-01-22 19:01:08","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T110214Z_gha21245969403_a1","2026-01-22 20:02:15","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T115327Z_gha21247426838_a1","2026-01-22 20:53:28","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T135845Z_gha21251220441_a1","2026-01-22 22:58:46","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T150132Z_gha21253249784_a1","2026-01-23 00:01:33","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T160335Z_gha21255406314_a1","2026-01-23 01:03:37","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T175117Z_gha21258945982_a1","2026-01-23 02:51:18","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T190314Z_gha21261223811_a1","2026-01-23 04:03:14","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T195150Z_gha21262726647_a1","2026-01-23 04:51:51","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T205403Z_gha21264520371_a1","2026-01-23 05:54:04","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T214712Z_gha21266052281_a1","2026-01-23 06:47:14","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T225030Z_gha21267700925_a1","2026-01-23 07:50:31","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260122T233950Z_gha21268881667_a1","2026-01-23 08:39:51","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123T011612Z_gha21270977753_a1","2026-01-23 10:16:13","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
"20260123_035301Z_132154","2026-01-23 12:53:02","1","JPY=X BTC-USD GC=F ^TNX CL=F ^VIX","6","0","","0.0"
